"concept_id","concept_name","concept_code","vocabulary_id"
45542510,"Salmonella enteritis","A02.0","ICD10"
42616340,"Arthritis and polyarthritis due to other specified bacterial agents, Lower leg","M00.86","ICD10"
42616386,"Arthritis in other bacterial diseases classified elsewhere, forearm","M01.33","ICD10"
42616390,"Arthritis in other bacterial diseases classified elsewhere, other","M01.38","ICD10"
42617761,"Brucella spondylitis, cervical region","M49.12","ICD10"
42618992,"Other chronic haematogenous osteomyelitis, ankle and foot","M86.57","ICD10"
42619005,"Other osteomyelitis, multiple sites","M86.80","ICD10"
45537784,"Echovirus as the cause of diseases classified elsewhere","B97.12","ICD10CM"
45538565,"Carbuncle of limb, unspecified","L02.439","ICD10CM"
45542527,"Cutaneous diphtheria","A36.3","ICD10"
45542576,"Intestinal myiasis","B87.82","ICD10CM"
45547403,"Whooping cough","A37","ICD10"
45547416,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess","A54.0","ICD10"
45556890,"Other specified intestinal infections","A08.8","ICD10CM"
45556944,"Mucocutaneous leishmaniasis","B55.2","ICD10"
45557370,"Parasitic cyst of iris, ciliary body or anterior chamber, right eye","H21.331","ICD10CM"
45557743,"Arthritis due to other bacteria, right shoulder","M00.811","ICD10CM"
45558074,"Chronic osteomyelitis with draining sinus, left hand","M86.442","ICD10CM"
45561686,"Tuberculous episcleritis","A18.51","ICD10CM"
45561701,"Other streptococcal sepsis","A40.8","ICD10"
45562069,"Meningitis in bacterial diseases classified elsewhere","G01","ICD10"
45563056,"Infections of other parts of urinary tract in pregnancy","O23.3","ICD10"
45567571,"Tuberculosis of spine","M49.0","ICD10"
45572246,"Carbuncle of back [any part, except buttock]","L02.232","ICD10CM"
45576271,"Aspergillosis, unspecified","B44.9","ICD10"
45577441,"Other acute osteomyelitis, unspecified radius and ulna","M86.139","ICD10CM"
45577451,"Other chronic hematogenous osteomyelitis, right ankle and foot","M86.571","ICD10CM"
45581140,"Zoster with other nervous system involvement","B02.2","ICD10"
45582329,"Other chronic osteomyelitis, unspecified ankle and foot","M86.679","ICD10CM"
45582438,"Urinary tract infection following (induced) termination of pregnancy","O04.88","ICD10CM"
45590801,"Miliary tuberculosis, unspecified","A19.9","ICD10"
45595597,"Other Creutzfeldt-Jakob disease","A81.09","ICD10CM"
45595613,"Infectious mononucleosis, unspecified without complication","B27.90","ICD10CM"
45595614,"Conjunctivitis due to adenovirus","B30.1","ICD10"
45600412,"Bartonellosis, unspecified","A44.9","ICD10"
45600453,"Other infectious mononucleosis without complication","B27.80","ICD10CM"
45601202,"Carbuncle of perineum","L02.235","ICD10CM"
45601267,"Arthritis due to other bacteria, right knee","M00.861","ICD10CM"
45605241,"Megaesophagus in Chagas' disease","B57.31","ICD10CM"
45755470,"Megacolon in Chagas disease","K93.1","ICD10"
1567277,"Whooping cough due to Bordetella pertussis","A37.0","ICD10CM"
1567292,"Bartonellosis","A44","ICD10CM"
1567332,"Spotted fever [tick-borne rickettsioses]","A77","ICD10CM"
1567357,"Zoster with other nervous system involvement","B02.2","ICD10CM"
1567372,"Acute hepatitis A","B15","ICD10CM"
1567383,"Infectious mononucleosis","B27","ICD10CM"
1567457,"Enterovirus as the cause of diseases classified elsewhere","B97.1","ICD10CM"
1569465,"Viral pneumonia, not elsewhere classified","J12","ICD10CM"
1569904,"Other streptococcal arthritis, hand","M00.24","ICD10CM"
1571677,"Unspecified infection of urinary tract in pregnancy","O23.4","ICD10CM"
35205646,"Typhus fever due to Rickettsia tsutsugamushi","A75.3","ICD10CM"
35205823,"Candidiasis of vulva and vagina","B37.3","ICD10CM"
