concept_id,concept_name,concept_code,vocabulary_id
45576243,Cardiovascular syphilis,A52.0,ICD10
1567305,Cardiovascular and cerebrovascular syphilis,A52.0,ICD10CM
45590822,"Cardiovascular syphilis, unspecified",A52.00,ICD10CM
45542532,Syphilitic aneurysm of aorta,A52.01,ICD10CM
45585920,Syphilitic aortitis,A52.02,ICD10CM
45537731,Syphilitic endocarditis,A52.03,ICD10CM
45600418,Syphilitic cerebral arteritis,A52.04,ICD10CM
45556905,Other cerebrovascular syphilis,A52.05,ICD10CM
45585921,Other syphilitic heart involvement,A52.06,ICD10CM
45537732,Other cardiovascular syphilis,A52.09,ICD10CM
1403923,Cardiovascular syphilis,A52.0,ICD10CN
1403924,Cardiovascular syphilis,A52.000,ICD10CN
1403925,Syphilitic cerebral arteritis (machine translation),A52.001,ICD10CN
1403926,Syphilitic aortitis (machine translation),A52.002,ICD10CN
1403927,Syphilitic aortic aneurysm (machine translation),A52.003,ICD10CN
1403928,Syphilitic aortic insufficiency (machine translation),A52.004,ICD10CN
1403929,"Syphilitic heart disease, (machine translation)",A52.005,ICD10CN
1403930,Syphilitic endocarditis (machine translation),A52.006,ICD10CN
1403931,Syphilitic myocarditis (machine translation),A52.007,ICD10CN
1403932,Syphilitic pericarditis (machine translation),A52.008,ICD10CN
1403933,Syphilitic pulmonary regurgitation (machine translation),A52.009,ICD10CN
37084313,Cardiovascular syphilis,A52.0,ICD10GM
45605233,Candidal endocarditis,B37.6,ICD10
35205825,Candidal endocarditis,B37.6,ICD10CM
1404805,Candidal endocarditis,B37.6,ICD10CN
1404806,Candidal endocarditis,B37.600,ICD10CN
37088388,Candidal endocarditis,B37.6,ICD10GM
35207635,Rheumatic fever without heart involvement,I00,ICD10CM
1413609,Rheumatic fever without mention of heart involvement,I00,ICD10CN
1435872,Acute rheumatic fever (machine translation),I00-I02,ICD10CN
1436052,Circulatory system diseases (machine translation),I00-I99,ICD10CN
1413610,Rheumatic fever without mention of heart involvement,I00.x00,ICD10CN
1413611,Rheumatoid arthritis (machine translation),I00.x01,ICD10CN
37084378,Rheumatic fever without mention of heart involvement,I00,ICD10GM
45572072,Rheumatic fever without mention of heart involvement,I00,ICD10
40475093,Acute rheumatic fever,I00-I02,ICD10
45572073,Rheumatic fever with heart involvement,I01,ICD10
45601017,Acute rheumatic pericarditis,I01.0,ICD10
45557534,Acute rheumatic endocarditis,I01.1,ICD10
45543160,Acute rheumatic myocarditis,I01.2,ICD10
45567160,Other acute rheumatic heart disease,I01.8,ICD10
45543161,"Acute rheumatic heart disease, unspecified",I01.9,ICD10
1569112,Rheumatic fever with heart involvement,I01,ICD10CM
35207636,Acute rheumatic pericarditis,I01.0,ICD10CM
35207637,Acute rheumatic endocarditis,I01.1,ICD10CM
35207638,Acute rheumatic myocarditis,I01.2,ICD10CM
35207639,Other acute rheumatic heart disease,I01.8,ICD10CM
35207640,"Acute rheumatic heart disease, unspecified",I01.9,ICD10CM
1413612,Rheumatic fever with heart involvement,I01,ICD10CN
1413613,Acute rheumatic pericarditis,I01.0,ICD10CN
1413614,Acute rheumatic pericarditis,I01.000,ICD10CN
1413615,Acute rheumatic endocarditis,I01.1,ICD10CN
1413616,Acute rheumatic endocarditis,I01.100,ICD10CN
1413617,Acute rheumatic myocarditis,I01.2,ICD10CN
1413618,Acute rheumatic myocarditis,I01.200,ICD10CN
1413619,Other acute rheumatic heart disease,I01.8,ICD10CN
1413620,Other acute rheumatic heart disease,I01.800,ICD10CN
1413621,"Acute rheumatic heart disease, unspecified",I01.9,ICD10CN
1413622,"Acute rheumatic heart disease, unspecified",I01.900,ICD10CN
37084379,Rheumatic fever with heart involvement,I01,ICD10GM
37084380,Acute rheumatic pericarditis,I01.0,ICD10GM
37084381,Acute rheumatic endocarditis,I01.1,ICD10GM
37084382,Acute rheumatic myocarditis,I01.2,ICD10GM
37084383,Other acute rheumatic heart disease,I01.8,ICD10GM
37084384,"Acute rheumatic heart disease, unspecified",I01.9,ICD10GM
45605243,Toxoplasma myocarditis,B58.81,ICD10CM
1413623,Rheumatic chorea,I02,ICD10CN
1413624,Rheumatic chorea with heart involvement,I02.0,ICD10CN
1413625,Rheumatic chorea with heart involvement,I02.000,ICD10CN
1413626,Rheumatic chorea without heart involvement,I02.9,ICD10CN
1413627,Rheumatic chorea without heart involvement,I02.900,ICD10CN
37084385,Rheumatic chorea,I02,ICD10GM
37084386,Rheumatic chorea with heart involvement,I02.0,ICD10GM
37084387,Rheumatic chorea without heart involvement,I02.9,ICD10GM
45548003,Rheumatic chorea,I02,ICD10
45538366,Rheumatic chorea with heart involvement,I02.0,ICD10
45543162,Rheumatic chorea without heart involvement,I02.9,ICD10
1569113,Rheumatic chorea,I02,ICD10CM
35207641,Rheumatic chorea with heart involvement,I02.0,ICD10CM
35207642,Rheumatic chorea without heart involvement,I02.9,ICD10CM
45552776,Rheumatic mitral valve diseases,I05,ICD10
45591451,Mitral stenosis,I05.0,ICD10
45552777,Rheumatic mitral insufficiency,I05.1,ICD10
45581762,Mitral stenosis with insufficiency,I05.2,ICD10
45601018,Other mitral valve diseases,I05.8,ICD10
45576861,"Mitral valve disease, unspecified",I05.9,ICD10
40475094,Chronic rheumatic heart diseases,I05-I09,ICD10
1413628,Rheumatic mitral valve diseases,I05,ICD10CN
1413629,Mitral stenosis,I05.0,ICD10CN
1413630,Mitral stenosis,I05.000,ICD10CN
1413631,Rheumatic mitral insufficiency,I05.1,ICD10CN
1413632,Rheumatic mitral insufficiency,I05.100,ICD10CN
1413633,Mitral stenosis with insufficiency,I05.2,ICD10CN
1413634,Mitral stenosis with insufficiency,I05.200,ICD10CN
1413635,Other mitral valve diseases,I05.8,ICD10CN
1413636,Other mitral valve diseases,I05.800,ICD10CN
1413637,Mitral valve calcification (machine translation),I05.801,ICD10CN
1413638,"Mitral valve disease, unspecified",I05.9,ICD10CN
1413639,"Mitral valve disease, unspecified",I05.900,ICD10CN
1435873,Chronic rheumatic heart disease (machine translation),I05-I09,ICD10CN
1569114,Rheumatic mitral valve diseases,I05,ICD10CM
35207643,Rheumatic mitral stenosis,I05.0,ICD10CM
35207644,Rheumatic mitral insufficiency,I05.1,ICD10CM
35207645,Rheumatic mitral stenosis with insufficiency,I05.2,ICD10CM
35207646,Other rheumatic mitral valve diseases,I05.8,ICD10CM
35207647,"Rheumatic mitral valve disease, unspecified",I05.9,ICD10CM
37084388,Rheumatic mitral valve diseases,I05,ICD10GM
37084389,Mitral stenosis,I05.0,ICD10GM
37084390,Rheumatic mitral insufficiency,I05.1,ICD10GM
37084391,Mitral stenosis with insufficiency,I05.2,ICD10GM
37084392,Other mitral valve diseases,I05.8,ICD10GM
37084393,"Mitral valve disease, unspecified",I05.9,ICD10GM
45567161,Rheumatic aortic valve diseases,I06,ICD10
45576862,Rheumatic aortic stenosis,I06.0,ICD10
45581763,Rheumatic aortic insufficiency,I06.1,ICD10
45572074,Rheumatic aortic stenosis with insufficiency,I06.2,ICD10
45562335,Other rheumatic aortic valve diseases,I06.8,ICD10
45601019,"Rheumatic aortic valve disease, unspecified",I06.9,ICD10
1569115,Rheumatic aortic valve diseases,I06,ICD10CM
35207648,Rheumatic aortic stenosis,I06.0,ICD10CM
35207649,Rheumatic aortic insufficiency,I06.1,ICD10CM
35207650,Rheumatic aortic stenosis with insufficiency,I06.2,ICD10CM
35207651,Other rheumatic aortic valve diseases,I06.8,ICD10CM
35207652,"Rheumatic aortic valve disease, unspecified",I06.9,ICD10CM
37084394,Rheumatic aortic valve diseases,I06,ICD10GM
37084395,Rheumatic aortic stenosis,I06.0,ICD10GM
37084396,Rheumatic aortic insufficiency,I06.1,ICD10GM
37084397,Rheumatic aortic stenosis with insufficiency,I06.2,ICD10GM
37084398,Other rheumatic aortic valve diseases,I06.8,ICD10GM
37084399,"Rheumatic aortic valve disease, unspecified",I06.9,ICD10GM
1413640,Rheumatic aortic valve diseases,I06,ICD10CN
1413641,Rheumatic aortic stenosis,I06.0,ICD10CN
1413642,Rheumatic aortic stenosis,I06.000,ICD10CN
1413643,Rheumatic aortic insufficiency,I06.1,ICD10CN
1413644,Rheumatic aortic insufficiency,I06.100,ICD10CN
1413645,Rheumatic aortic stenosis with insufficiency,I06.2,ICD10CN
1413646,Rheumatic aortic stenosis with insufficiency,I06.200,ICD10CN
1413647,Other rheumatic aortic valve diseases,I06.8,ICD10CN
1413648,Other rheumatic aortic valve diseases,I06.800,ICD10CN
1413649,"Rheumatic aortic valve disease, unspecified",I06.9,ICD10CN
1413650,"Rheumatic aortic valve disease, unspecified",I06.900,ICD10CN
45548004,Rheumatic tricuspid valve diseases,I07,ICD10
45591452,Tricuspid stenosis,I07.0,ICD10
45601020,Tricuspid insufficiency,I07.1,ICD10
45562336,Tricuspid stenosis with insufficiency,I07.2,ICD10
45605774,Other tricuspid valve diseases,I07.8,ICD10
45605775,"Tricuspid valve disease, unspecified",I07.9,ICD10
37084400,Rheumatic tricuspid valve diseases,I07,ICD10GM
37084401,Tricuspid stenosis,I07.0,ICD10GM
37084402,Tricuspid insufficiency,I07.1,ICD10GM
37084403,Tricuspid stenosis with insufficiency,I07.2,ICD10GM
37084404,Other tricuspid valve diseases,I07.8,ICD10GM
37084405,"Tricuspid valve disease, unspecified",I07.9,ICD10GM
1569116,Rheumatic tricuspid valve diseases,I07,ICD10CM
35207653,Rheumatic tricuspid stenosis,I07.0,ICD10CM
35207654,Rheumatic tricuspid insufficiency,I07.1,ICD10CM
35207655,Rheumatic tricuspid stenosis and insufficiency,I07.2,ICD10CM
35207656,Other rheumatic tricuspid valve diseases,I07.8,ICD10CM
35207657,"Rheumatic tricuspid valve disease, unspecified",I07.9,ICD10CM
1413651,Rheumatic tricuspid valve diseases,I07,ICD10CN
1402545,Tricuspid stenosis,I07.0,ICD10CN
1402807,Tricuspid stenosis,I07.000,ICD10CN
1413652,Tricuspid insufficiency,I07.1,ICD10CN
1413653,Tricuspid insufficiency,I07.100,ICD10CN
1413654,Tricuspid stenosis with insufficiency,I07.2,ICD10CN
1413655,Tricuspid stenosis with insufficiency,I07.200,ICD10CN
1413656,Other tricuspid valve diseases,I07.8,ICD10CN
1413657,Other tricuspid valve diseases,I07.800,ICD10CN
1413658,"Tricuspid valve disease, unspecified",I07.9,ICD10CN
1413659,"Tricuspid valve disease, unspecified",I07.900,ICD10CN
1569117,Multiple valve diseases,I08,ICD10CM
35207658,Rheumatic disorders of both mitral and aortic valves,I08.0,ICD10CM
35207659,Rheumatic disorders of both mitral and tricuspid valves,I08.1,ICD10CM
35207660,Rheumatic disorders of both aortic and tricuspid valves,I08.2,ICD10CM
35207661,"Combined rheumatic disorders of mitral, aortic and tricuspid valves",I08.3,ICD10CM
35207662,Other rheumatic multiple valve diseases,I08.8,ICD10CM
35207663,"Rheumatic multiple valve disease, unspecified",I08.9,ICD10CM
37084406,Multiple valve diseases,I08,ICD10GM
37084407,Disorders of both mitral and aortic valves,I08.0,ICD10GM
37084408,Disorders of both mitral and tricuspid valves,I08.1,ICD10GM
37084409,Disorders of both aortic and tricuspid valves,I08.2,ICD10GM
