"concept_id","concept_name","concept_code","vocabulary_id"
45561703,"Sepsis due to Haemophilus influenzae","A41.3","ICD10"
45605204,"Haemophilus influenzae infection, unspecified site","A49.2","ICD10"
46269769,"Otitis media due to Influenza A virus","10674911000119108","SNOMED"
46274061,"Encephalopathy due to Influenza A virus","10677711000119101","SNOMED"
46273463,"Upper respiratory tract infection due to Influenza","10685111000119102","SNOMED"
4030792,"Parainfluenza virus laryngotracheitis","10809006","SNOMED"
40276903,"Influenza due to other Influenza virus","111876006","SNOMED"
603160,"Haemophilus influenzae B immune","1156927006","SNOMED"
603161,"Haemophilus influenzae B non-immune","1156928001","SNOMED"
603162,"Immunity to Haemophilus influenzae B by positive serology","1156929009","SNOMED"
46270043,"Septic shock co-occurrent with acute organ dysfunction due to Haemophilus influenzae","127171000119100","SNOMED"
46270050,"Severe sepsis with acute organ dysfunction due to Haemophilus influenzae","127301000119108","SNOMED"
40310282,"Influenza vacc consent given","148504000","SNOMED"
40310283,"No consent - Haemophilus influenzae type B immunization","148505004","SNOMED"
40316514,"Pneumonia and influenza &/or pneumonia","155548002","SNOMED"
40316526,"Influenza","155559006","SNOMED"
40316527,"Influenzal pneumonia","155560001","SNOMED"
40316529,"Influenza with encephalopathy","155561002","SNOMED"
40316530,"(Influenza NOS) or (influenza-like illness)","155562009","SNOMED"
40316532,"Pneumonia or influenza NOS","155564005","SNOMED"
40380819,"[X]Haemophilus influenzae [h influenzae] as the cause of diseases classified to other chapters","187579008","SNOMED"
4110475,"Acute haemophilus influenzae laryngitis","195684009","SNOMED"
4110023,"Acute haemophilus influenzae bronchitis","195721005","SNOMED"
4112359,"Acute parainfluenza virus bronchitis","195726000","SNOMED"
256723,"Pneumonia and influenza","195878008","SNOMED"
4112662,"Influenza with pneumonia, influenza virus identified","195920000","SNOMED"
4110511,"Influenza with pneumonia NOS","195921001","SNOMED"
4112663,"Influenza with other respiratory manifestation","195922008","SNOMED"
4112664,"Influenza with laryngitis","195923003","SNOMED"
4110512,"Influenza with pharyngitis","195924009","SNOMED"
4110042,"Influenza with respiratory manifestations NOS","195925005","SNOMED"
4110634,"Influenza with other manifestations","195927002","SNOMED"
40395528,"Influenza with encephalopathy","195928007","SNOMED"
4112824,"Influenza with gastrointestinal tract involvement","195929004","SNOMED"
4110043,"Influenza with other manifestations NOS","195930009","SNOMED"
40395532,"(Influenza like illness) or (influenza NOS)","195931008","SNOMED"
4112665,"Other specified pneumonia or influenza","195933006","SNOMED"
4112825,"Pneumonia or influenza NOS","195934000","SNOMED"
40396926,"[X]Influenza with other respiratory manifestations, influenza virus identified","196200002","SNOMED"
40396928,"[X]Influenza with other manifestations, influenza virus identified","196201003","SNOMED"
40396929,"[X]Influenza with other respiratory manifestations, virus not identified","196202005","SNOMED"
40396930,"[X]Influenza with other manifestations, virus not identified","196203000","SNOMED"
4042202,"Post-influenza encephalitis","230188005","SNOMED"
133130,"Haemophilus influenzae septicemia","23863009","SNOMED"
4080680,"Influenza due to Influenza B virus","24662006","SNOMED"
4196701,"Encephalitis due to influenza-specific virus not identified","313251006","SNOMED"
4146838,"Parainfluenza virus laryngotracheobronchitis","35377009","SNOMED"
3528942,"[X]Haemophilus influenzae [h influenzae] as the cause of diseases classified to other chapters","414691000000104","SNOMED"
44796183,"[X]Influenza with other respiratory manifestations, influenza virus identified","418181000000104","SNOMED"
44796184,"[X]Influenza with other manifestations, influenza virus identified","418191000000102","SNOMED"
44797578,"[X]Influenza with other respiratory manifestations, virus not identified","430891000000103","SNOMED"
44797341,"[X]Haemophilus influenzae [h influenzae] as the cause of diseases classified to other chapters","431281000000105","SNOMED"
3529062,"Myocarditis due to Influenza A virus subtype H1N1","434911000124100","SNOMED"
763011,"Pneumonia due to Influenza A virus","434921000124108","SNOMED"
763012,"Pneumonia due to Influenza A virus subtype H1N1","434931000124106","SNOMED"
765607,"Influenza due to Influenza A virus with upper respiratory signs","435051000124104","SNOMED"
40483537,"Influenza due to Influenza A virus","442438000","SNOMED"
40484544,"Influenza due to Influenza A virus subtype H1N1","442696006","SNOMED"
40482489,"Meningitis due to Haemophilus influenzae type B","445198003","SNOMED"
4262787,"Haemophilus influenzae arthritis","46527004","SNOMED"
601781,"Haemophilus influenzae or Haemophilus parainfluenzae","470621000124106","SNOMED"
4242412,"Haemophilus influenzae epiglottitis","58576005","SNOMED"
4240481,"Haemophilus influenzae meningitis","5900006","SNOMED"
4244268,"Parainfluenza virus rhinopharyngitis","59221008","SNOMED"
4274802,"Parainfluenza virus bronchopneumonia","64880000","SNOMED"
439857,"Parainfluenza virus pneumonia","64917006","SNOMED"
