"concept_id","concept_name","concept_code","vocabulary_id"
3000108,"Respiratory syncytial virus B RNA [Presence] in Specimen by NAA with probe detection","30076-4","LOINC"
36308813,"Respiratory syncytial virus B","LA25845-1","LOINC"
37020688,"Human metapneumovirus and Respiratory syncytial virus RNA panel - Upper respiratory specimen by NAA with probe detection","92881-2","LOINC"
1990610,"Respiratory syncytial virus | Cornea or Conjunctiva | Microbiology","LP429528-5","LOINC"
40655717,"Respiratory syncytial virus A RNA|Presence or Threshold|Any Respiratory specimen","LG34088-1","LOINC"
37073267,"Respiratory syncytial virus B RNA | Cornea or Conjunctiva | Microbiology","LP378943-7","LOINC"
3005156,"Respiratory syncytial virus A RNA [Presence] in Specimen by NAA with probe detection","30075-6","LOINC"
37045531,"Respiratory syncytial virus IgG | Serum | Microbiology","LP378933-8","LOINC"
37072352,"Respiratory syncytial virus RNA | Isolate | Microbiology","LP378955-1","LOINC"
1003126,"Human metapneumovirus and Respiratory syncytial virus RNA panel | Upper respiratory specimen | Microbiology Panels","LP417139-5","LOINC"
37065683,"Respiratory syncytial virus B RNA | XXX | Microbiology","LP378947-8","LOINC"
37050644,"Respiratory syncytial virus A 5' UTR RNA | Nasopharynx | Microbiology","LP378928-8","LOINC"
3046856,"Respiratory syncytial virus Ag [Presence] in Nose","33045-6","LOINC"
44786948,"PRRSV Ag [Presence] in Specimen by Immunofluorescence","74305-4","LOINC"
37067337,"Respiratory syncytial virus RNA | Respiratory specimen | Microbiology","LP378957-7","LOINC"
37038184,"Respiratory syncytial virus RNA | Lower respiratory specimen | Microbiology","LP378958-5","LOINC"
40655718,"Respiratory syncytial virus Ag|Presence or Threshold|Any Respiratory specimen","LG34028-7","LOINC"
36308789,"Respiratory syncytial virus subtype B","LA26163-8","LOINC"
36303588,"Respiratory syncytial virus A RNA [Presence] in Lower respiratory specimen by NAA with probe detection","88595-4","LOINC"
40655720,"Respiratory syncytial virus RNA|Presence or Threshold|Any Respiratory specimen","LG34071-7","LOINC"
3044254,"Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection","40988-8","LOINC"
37053418,"Respiratory syncytial virus | Nose | Microbiology","LP378921-3","LOINC"
21493385,"Respiratory syncytial virus B F gene [Presence] in Nasopharynx by NAA with probe detection","80598-6","LOINC"
40655719,"Respiratory syncytial virus B RNA|Presence or Threshold|Any Respiratory specimen","LG34089-9","LOINC"
37065137,"Respiratory syncytial virus RNA | XXX | Microbiology","LP378960-1","LOINC"
36304133,"Respiratory syncytial virus B RNA [Presence] in Lower respiratory specimen by NAA with probe detection","88597-0","LOINC"
37076683,"Respiratory syncytial virus RNA | Upper respiratory specimen | Microbiology","LP378959-3","LOINC"
37080298,"Respiratory syncytial virus|Presence or Threshold|Any Respiratory specimen","LG50859-4","LOINC"
37057736,"Respiratory syncytial virus B RNA | Upper respiratory specimen | Microbiology","LP378946-0","LOINC"
37020635,"Influenza virus A RNA [Presence] in Respiratory specimen by NAA with probe detection","92142-9","LOINC"
37069803,"Respiratory syncytial virus Ag | Nose | Microbiology","LP378937-9","LOINC"
37055228,"Respiratory syncytial virus RNA | Nasopharynx | Microbiology","LP378956-9","LOINC"
36305321,"Respiratory syncytial virus B RNA [Presence] in Cornea or Conjunctiva by NAA with probe detection","88202-7","LOINC"
37019752,"Respiratory syncytial virus B RNA [Presence] in Upper respiratory specimen by NAA with probe detection","91794-8","LOINC"
36303916,"Respiratory syncytial virus A RNA [Presence] in Cornea or Conjunctiva by NAA with probe detection","88204-3","LOINC"
21493384,"Respiratory syncytial virus A 5' UTR RNA [Presence] in Nasopharynx by NAA with probe detection","80597-8","LOINC"
46234983,"Respiratory syncytial virus B RNA [Presence] in Nasopharynx by NAA with probe detection","77023-0","LOINC"
36311097,"Respiratory syncytial virus","LA19239-5","LOINC"
46235767,"Respiratory syncytial virus RNA [Presence] in Bronchoalveolar lavage by NAA with probe detection","76088-4","LOINC"
43534059,"Respiratory syncytial virus Ag [Presence] in Nasopharynx by Rapid immunoassay","72885-7","LOINC"
36304900,"Respiratory syncytial virus RNA [Presence] in Cornea or Conjunctiva by NAA with probe detection","88528-5","LOINC"
36203320,"Influenza virus A and B and Respiratory syncytial virus RNA panel - Upper respiratory specimen by NAA with probe detection","85476-0","LOINC"
36309353,"Respiratory syncytial virus A","LA25844-4","LOINC"
36031861,"Influenza virus A and B and SARS-CoV-2 (COVID-19) and Respiratory syncytial virus RNA panel - Respiratory specimen by NAA with probe detection","95941-1","LOINC"
3020426,"Respiratory syncytial virus Ag [Presence] in Specimen by Immunoassay","5876-8","LOINC"
37036298,"Respiratory syncytial virus A RNA | Cornea or Conjunctiva | Microbiology","LP378923-9","LOINC"
1176171,"Respiratory syncytial virus RNA [Presence] in Lower respiratory specimen by NAA with probe detection","91133-9","LOINC"
3009489,"Bovine respiratory syncytial virus Ag [Presence] in Lung by Immune stain","20943-7","LOINC"
3027791,"Respiratory syncytial virus Ag [Presence] in Nose by Immunofluorescence","32040-8","LOINC"
1002997,"Human metapneumovirus and Respiratory syncytial virus RNA panel | Lower respiratory specimen | Microbiology Panels","LP417138-7","LOINC"
37040690,"Respiratory syncytial virus genotype | XXX | Microbiology","LP378961-9","LOINC"
40771500,"Respiratory syncytial virus Ag [Presence] in Nasopharynx by Immunoassay","68966-1","LOINC"
3019907,"Respiratory syncytial virus Ag [Presence] in Throat by Immunofluorescence","5875-0","LOINC"
37019510,"Respiratory syncytial virus A RNA [Presence] in Upper respiratory specimen by NAA with probe detection","91795-5","LOINC"
37049981,"Respiratory syncytial virus Ag | Tissue and Smears | Microbiology","LP378941-1","LOINC"
36203322,"Influenza virus B RNA [Presence] in Upper respiratory specimen by NAA with probe detection","85478-6","LOINC"
37052612,"Respiratory syncytial virus RNA | Cornea or Conjunctiva | Microbiology","LP378954-4","LOINC"
1990972,"Respiratory syncytial virus | Upper respiratory specimen | Microbiology","LP429530-1","LOINC"
3023609,"Respiratory syncytial virus Ag [Presence] in Throat by Immunoassay","5874-3","LOINC"
706163,"SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection","94500-6","LOINC"
37072192,"Respiratory syncytial virus Ag | XXX | Microbiology","LP378942-9","LOINC"
37078306,"Respiratory syncytial virus Ag | Lower respiratory specimen | Microbiology","LP378939-5","LOINC"
37061788,"Respiratory syncytial virus B F gene | Nasopharynx | Microbiology","LP378948-6","LOINC"
37073662,"Respiratory syncytial virus A RNA | Nasopharynx | Microbiology","LP378924-7","LOINC"
40763326,"Respiratory syncytial virus RNA [Presence] in Isolate by NAA with probe detection","60271-4","LOINC"
37060341,"Respiratory syncytial virus B RNA | Lower respiratory specimen | Microbiology","LP378945-2","LOINC"
46234982,"Respiratory syncytial virus A RNA [Presence] in Nasopharynx by NAA with probe detection","77022-2","LOINC"
37039250,"Respiratory syncytial virus B RNA | Nasopharynx | Microbiology","LP378944-5","LOINC"
36661355,"Bovine respiratory syncytial virus Ag | Tissue and Smears | Microbiology","LP418063-6","LOINC"
36203323,"Respiratory syncytial virus RNA [Presence] in Upper respiratory specimen by NAA with probe detection","85479-4","LOINC"
37049319,"Respiratory syncytial virus identified | XXX | Microbiology","LP378952-8","LOINC"
3014709,"Bovine respiratory syncytial virus Ag [Presence] in Lung by Immunoassay","20944-5","LOINC"
21493342,"Respiratory syncytial virus RNA [Presence] in Nasopharynx by NAA with non-probe detection","82176-9","LOINC"
46236091,"Respiratory syncytial virus Ag [Presence] in Nasopharynx by Immunofluorescence","77390-3","LOINC"
3043924,"Respiratory syncytial virus RNA [Identifier] in Specimen by NAA with probe detection","40987-0","LOINC"
44786960,"PRRSV European strain RNA [Cycle Threshold #] in Specimen by NAA with probe detection","74317-9","LOINC"
37021152,"Respiratory syncytial virus RNA [Presence] in Respiratory specimen by NAA with probe detection","92131-2","LOINC"
706161,"SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection","94533-7","LOINC"
37034904,"Respiratory syncytial virus | XXX | Microbiology","LP378922-1","LOINC"
37065517,"Respiratory syncytial virus A RNA | XXX | Microbiology","LP378927-0","LOINC"
1176113,"Human metapneumovirus RNA [Presence] in Lower respiratory specimen by NAA with probe detection","89651-4","LOINC"
36203385,"PRRSV European strain RNA [Presence] in Specimen by NAA with probe detection","85546-0","LOINC"
36304759,"Respiratory syncytial virus Ag [Presence] in Lower respiratory specimen by Immunofluorescence","88909-7","LOINC"
3005444,"Respiratory syncytial virus Ag [Presence] in Specimen by Immunofluorescence","5877-6","LOINC"
36310037,"Respiratory syncytial virus subtype A","LA26162-0","LOINC"
46235794,"Respiratory syncytial virus RNA [Presence] in Nasopharynx by NAA with probe detection","76089-2","LOINC"
36204454,"PRRSV North American strain RNA [#/volume] (viral load) in Specimen by NAA with probe detection","85539-5","LOINC"
44786958,"PRRSV RNA [#/volume] (viral load) in Specimen by NAA with probe detection","74315-3","LOINC"
37027803,"Influenza virus A and B and Respiratory syncytial virus RNA panel | Upper respiratory specimen | Microbiology Panels","LP380022-6","LOINC"
3009146,"Bovine respiratory syncytial virus Ag [Presence] in Lung by Immunofluorescence","20945-2","LOINC"
3032425,"Respiratory syncytial virus Ag [Presence] in Tissue by Immune stain","50329-2","LOINC"
